TWEET,STOCK,DATE,LAST_PRICE,3_DAY_RETURN,PX_VOLUME,VOLATILITY_10D,VOLATILITY_30D,LSTM_POLARITY,TEXTBLOB_POLARITY,TWTOKEN
Check out Original #ACEO Scratchboard Art #DRAGON BABY #Egg Hatching Animal #Fantasy Painting  https://t.co/Hko8JnzUEn via @eBay,eBay,29/09/2018,33.02,0.0169594185342215,8467405.0,22.738000000000003,17.202,-1,0.375,Check out Original $HASHTAG$ Scratchboard Art $HASHTAG$ BABY $HASHTAG$ Hatching Animal $HASHTAG$ Painting $URL$ via $MENTION$
@harshul_p7 @Tesco Beg u chill tesco,Tesco,01/04/2017,185.6,0.0250538793103448,32454795.0,19.358,16.623,1,0.0,$MENTION$ $MENTION$ Beg u chill tesco
@RealHanksDank @McDonalds Food*,McDonald's,13/09/2018,162.4,0.0164408866995073,3663571.0,11.151,11.628,1,0.0,$MENTION$ $MENTION$ Food*
RT @netflix: Reversing Roe: A new documentary about the state of abortion and women’s rights in America. September 13. https://t.co/AX75YJU…,Netflix,05/09/2018,341.18,0.0776716102936866,13092847.0,51.26600000000001,40.228,1,0.0681818181818181,$RESERVED$ $MENTION$: Reversing Roe: A new documentary about the state of abortion and womens rights in America. September $NUMBER$. $URL$
"Dome Glass Find X Screen Protector Tempered Glass, Full Cover Screen Shield [... https://t.co/VdR0T3jq8w @amazon https://t.co/IMavFYx1ph",Amazon,20/10/2018,1764.03,0.0383780321196351,5907246.0,51.688,34.372,1,0.35,"Dome Glass Find X Screen Protector Tempered Glass, Full Cover Screen Shield [... $URL$ $MENTION$ $URL$"
@SplattoDelGato @doomedhuh @Walmart @DCComics I've also found that if the display box is removed that Walmart just… https://t.co/9lsumqB4yd,Walmart,23/09/2018,95.9,-0.0015641293013556,9530133.0,8.758,29.727,1,0.0,$MENTION$ $MENTION$ $MENTION$ $MENTION$ I've also found that if the display box is removed that Walmart just $URL$
RT @Burberry: Watch highlights from our February show. #BurberryShow https://t.co/vpc91SX5iP,Burberry,01/03/2017,1772.0,-0.0626410835214447,3251362.0,22.47,16.805,1,0.0,$RESERVED$ $MENTION$: Watch highlights from our February show. $HASHTAG$ $URL$
RT @RealJamesWoods: As @Nike commits #BrandSuicide... https://t.co/8N1EHJoJSS,Nike,03/09/2018,82.2,0.0,5177091.0,13.223,17.918,-1,0.0,$RESERVED$ $MENTION$: As $MENTION$ commits $HASHTAG$... $URL$
"Buy 1, get 1 at 15% off (add 2 to cart) Mix &amp; Match Any Two Items https://t.co/KpwFLQWhHi via @eBay",eBay,04/09/2018,34.8,-0.0054597701149424,6743260.0,8.721,14.554,-1,0.0,"Buy $NUMBER$, get $NUMBER$ at $NUMBER$% off (add $NUMBER$ to cart) Mix &amp; Match Any Two Items $URL$ via $MENTION$"
RT @ATT: Hear from J.K. Rowling and Jude Law in our new #FantasticBeasts vid. Watch the rest here: https://t.co/iwo2RmOGAb #DiscoverMoreMag…,AT&T,20/10/2018,32.87,-0.0091268634012776,35133029.0,26.356,18.295,-1,0.1363636363636363,$RESERVED$ $MENTION$: Hear from J.K. Rowling and Jude Law in our new $HASHTAG$ vid. Watch the rest here: $URL$ $HASHTAG$
@brickie18 @Reuters Who are the 'extremists' you refer to?,Reuters,13/09/2018,50.2699,-0.0203779995583838,3010440.0,11.703,17.1,1,0.0,$MENTION$ $MENTION$ Who are the 'extremists' you refer to?
@AnnetteMees @TheRoyalOpera @Google I want to know everything.,Google,03/09/2018,1231.8,0.0,2115424.0,19.049,21.207,1,0.0,$MENTION$ $MENTION$ $MENTION$ I want to know everything.
Watch Previews Of ’13 Reasons Why’ On @netflix Today https://t.co/IeROQJiMWd,Netflix,31/03/2017,147.81,-0.0178607672011366,3888237.0,18.363,16.317,1,0.0,Watch Previews Of $NUMBER$ Reasons Why On $MENTION$ Today $URL$
RT @Disney: Liu Yifei Has Been Cast as #Mulan in the Upcoming Live-Action Film: https://t.co/rKn6minNV4 https://t.co/hkmJW0AdMv,Disney,30/11/2017,104.82,-0.0193665331043692,9948999.0,11.504,13.967,1,0.0,$RESERVED$ $MENTION$: Liu Yifei Has Been Cast as $HASHTAG$ in the Upcoming Live-Action Film: $URL$ $URL$
@ginger_carner @BaronAndToluca @unrealfehr @MajandraD @netflix Exactly. Just those few minutes of the trailer were… https://t.co/KIYy9jgljE,Netflix,30/12/2017,191.96,-0.0297978745571994,5187606.0,24.448,25.15,1,0.25,$MENTION$ $MENTION$ $MENTION$ $MENTION$ $MENTION$ Exactly. Just those few minutes of the trailer were $URL$
Check out 2017 TOPPS UFC FIRE BLUE FLAME #48 CARLOS CONDIT 7/25 FREE SHIPPING 🔥  https://t.co/aoKZMH5tpC via @eBay,eBay,15/09/2018,34.1,0.0046920821114368,5376353.0,18.239,14.535,-1,0.2,Check out $NUMBER$ TOPPS UFC FIRE BLUE FLAME $HASHTAG$ CARLOS CONDIT $NUMBER$/25 FREE SHIPPING $EMOJI$ $URL$ via $MENTION$
@GoogleQuick reminder to your Credo: Don't be evil.  I think assisting surpress every chinese ciztizens counts as evil#Dragonfly #China,Google,17/09/2018,1159.83,0.0156488450893666,1704790.0,16.361,17.333,1,-0.3333333333333333,$MENTION$ reminder to your Credo: Don't be evil. I think assisting surpress every chinese ciztizens counts as evil$HASHTAG$ $HASHTAG$
Check out NINE WEST Waarona Women's Dress Shoes (size: 6.5 ) Pre-Owned  #NineWest #PumpsClassics https://t.co/tkC6VLcnG0 via @eBay,eBay,08/09/2018,33.99,0.0041188584877905,6445251.0,15.765999999999998,14.593,1,0.0,Check out NINE WEST Waarona Women's Dress Shoes (size: $NUMBER$ ) Pre-Owned $HASHTAG$ $HASHTAG$ $URL$ via $MENTION$
RT @Apple: A new generation of iPhone. Available now. https://t.co/oEqZ9JzGMa,Apple,29/09/2017,154.12,-0.0063586815468467,26299810.0,18.701,15.889,1,0.1363636363636363,$RESERVED$ $MENTION$: A new generation of iPhone. Available now. $URL$
RT @gmapinoytv: LOOK: #KapusongPinoyAnaheim2018 press conference photos!For more photos: https://t.co/ZcahTpJyEEFor @facebook LIVE of…,Facebook,20/09/2018,166.02,-0.0327671364895795,18936038.0,21.994,21.77,1,0.3181818181818182,$RESERVED$ $MENTION$: LOOK: $HASHTAG$ press conference photos!For more photos: $URL$ $MENTION$ LIVE of
RT @RBurlinson: Check out Large Volkswagen VW Tribal Flames x2 Side Stickers Graphics Decal Golf Camper 57 https://t.co/76QIGy7ZoJ @eBay #g…,eBay,17/09/2018,34.2,-0.0029239766081871,6722685.0,17.965,14.271,-1,0.2142857142857142,$RESERVED$ $MENTION$: Check out Large Volkswagen VW Tribal Flames x2 Side Stickers Graphics Decal Golf Camper $NUMBER$ $URL$ $MENTION$ $HASHTAG$
"RT @TVietor08: Great work, @DonaldJTrumpJr. Now a bunch of confused racists think they should buy @Nike products. https://t.co/peiHACdUAp",Nike,06/09/2018,80.4,0.0223880597014925,8577029.0,21.379,18.968,1,0.8,"$RESERVED$ $MENTION$: Great work, $MENTION$. Now a bunch of confused racists think they should buy $MENTION$ products. $URL$"
@pepsi Rt pls,Pepsi,31/07/2017,116.61,0.0,3098647.0,7.837999999999999,9.644,1,0.0,$MENTION$ Rt pls
Bad news is the @Brewers lost. Good news is I got a great deal on these pants at @Costco! #ThisisMyCrew… https://t.co/LtjwlZudmp,Costco,18/10/2018,228.58,-0.0178055822906641,2624596.0,21.177,23.951,-1,-0.6999999999999998,Bad news is the $MENTION$ lost. Good news is I got a great deal on these pants at $MENTION$! $HASHTAG$ $URL$
@underwatergeek @martenson @aaomidi @_coolpup_ @lemiorhan @AppleSupport @Apple If you are a computer professional t… https://t.co/wHi7auzBnf,Apple,30/11/2017,171.85,0.0130346232179226,41527218.0,19.506,20.556,-1,0.1,$MENTION$ $MENTION$ $MENTION$ $MENTION$ $MENTION$ $MENTION$ $MENTION$ If you are a computer professional t $URL$
@Ryanair at it again... 🙄We all know less hand luggage in the cabin makes for a quicker turnaround for you. What’s… https://t.co/NynDMVX8gV,Ryanair,01/09/2018,14.11,0.0248051027639972,962436.0,38.658,40.518,1,-0.1666666666666666,$MENTION$ at it again... $EMOJI$We all know less hand luggage in the cabin makes for a quicker turnaround for you. Whats $URL$
RT @gbmnyc: @sclancy79 @NFL @Nike I'm a Marine who did 3 combat tours for my countryAnd guess what I was fighting for?The rights enshri…,Nike,04/09/2018,79.6,0.0326633165829146,18565837.0,20.517,20.153,1,0.0,$RESERVED$ $MENTION$: $MENTION$ $MENTION$ $MENTION$ I'm a Marine who did $NUMBER$ combat tours for my countryAnd guess what I was fighting for?The rights enshri
Check out my listing @eBay - https://t.co/AehIaYLP0H via @eBay,eBay,22/09/2018,34.04,0.0052878965922444,24874963.0,10.372,14.015,1,0.0,Check out my listing $MENTION$ - $URL$ via $MENTION$
"@Reuters @TabberAnn @Sears has been going out of business since Lampert took over. As long as he's made his money, that's all that matters.",Reuters,14/09/2018,50.1377,-0.0208705225808125,2585085.0,11.593,17.185,1,0.0,"$MENTION$ $MENTION$ $MENTION$ has been going out of business since Lampert took over. As long as he's made his money, that's all that matters."
@Nike my household will never buy another Nike product.,Nike,04/09/2018,79.6,0.0326633165829146,18565837.0,20.517,20.153,1,0.0,$MENTION$ my household will never buy another Nike product.
"RT @Reuters: BREAKING: Suicide bomber attacked area near Afghan police, Iraqi embassy compound in Kabul - Afghan security offici…",Reuters,31/07/2017,50.5452,0.0037055942008341,1301289.0,5.305,8.792,-1,0.1,"$RESERVED$ $MENTION$: BREAKING: Suicide bomber attacked area near Afghan police, Iraqi embassy compound in Kabul - Afghan security offici"
Check out SPAIN NATIONAL TEAM 2011 2012 AWAY FOOTBALL SOCCER SHIRT JERSEY CAMISETA M #adidas https://t.co/uKQULcb9Dh via @eBay,eBay,13/09/2018,34.44,-0.0211962833914052,6716827.0,17.733,14.649,1,0.0,Check out SPAIN NATIONAL TEAM $NUMBER$ $NUMBER$ AWAY FOOTBALL SOCCER SHIRT JERSEY CAMISETA M $HASHTAG$ $URL$ via $MENTION$
@bythebipodcast @netflix Toni Collette is always worth watching,Netflix,23/10/2018,333.16,-0.0014707647976948,14907326.0,63.246,51.55,1,0.3,$MENTION$ $MENTION$ Toni Collette is always worth watching
"RT @KellyGilblom: A few weeks ago @Shell took journalists to Nigeria. We saw a region still beset by pollution, graft and distrust. Fixing…",Shell,28/09/2018,2636.5,0.0064479423478095,5748932.0,16.933,17.252,1,-0.2,"$RESERVED$ $MENTION$: A few weeks ago $MENTION$ took journalists to Nigeria. We saw a region still beset by pollution, graft and distrust. Fixing"
RT @johnnypemberton: I LOVE @BankofAmerica THEY ARE SO HELPFUL AND THEY FINANCE MY FAVORITE WARS USING MY MONTHLY MAINTENANCE FEE,Bank of America,10/09/2018,30.82,0.0012978585334198,34156191.0,7.605,13.956,1,0.5,$RESERVED$ $MENTION$: I LOVE $MENTION$ THEY ARE SO HELPFUL AND THEY FINANCE MY FAVORITE WARS USING MY MONTHLY MAINTENANCE FEE
"RT @DoubleDutyMommy: You can now ask @amazon Alexa to schedule a @Kia Niro test drive!! Check out the new ""Niro Skill"" for Amazon Alexa…",Amazon,01/08/2017,996.19,0.0239412160330859,4572576.0,25.539,20.824,-1,0.0,"$RESERVED$ $MENTION$: You can now ask $MENTION$ Alexa to schedule a $MENTION$ Niro test drive!! Check out the new ""Niro Skill"" for Amazon Alexa"
RT @OpTic_Crimsix: Oh my god @Samsung https://t.co/MQ2r3g9Fet,Samsung,31/10/2018,42400.0,-0.0330188679245283,17621480.0,26.562,29.462,1,0.0,$RESERVED$ $MENTION$: Oh my god $MENTION$ $URL$
RT @coachtrotter81: Can't believe Nike would do such a thing. @Nike @Kaepernick7 #fire #JustDoIt #BoycottNike https://t.co/otqcS49AMu,Nike,05/09/2018,79.92,0.0285285285285285,12269138.0,21.037,19.239,-1,0.0,$RESERVED$ $MENTION$: Can't believe Nike would do such a thing. $MENTION$ $MENTION$ $HASHTAG$ $HASHTAG$ $HASHTAG$ $URL$
"Surgical stainless bottle, can tab opener. Personalized by design. M Ference ... https://t.co/BqKghttGCs via @amazon",Amazon,15/09/2018,1970.19,0.0100548678046279,3642030.0,23.601,19.372,-1,0.2,"Surgical stainless bottle, can tab opener. Personalized by design. M Ference ... $URL$ via $MENTION$"
"RT @intel: For museums, #VirtualReality has the power to transport people, activate artworks, and create shared experiences. See how our te…",Intel,14/09/2018,45.54,-0.0133948177426438,22998666.0,19.793,19.265,1,0.0,"$RESERVED$ $MENTION$: For museums, $HASHTAG$ has the power to transport people, activate artworks, and create shared experiences. See how our te"
Check out Star Wars Attack of the Clones by R.A. Salvatore  https://t.co/m9CHcUZkwd via @eBay,eBay,14/09/2018,34.1,0.0002932551319647,5376353.0,18.239,14.535,-1,0.0,Check out Star Wars Attack of the Clones by R.A. Salvatore $URL$ via $MENTION$
"RT @Apple: The all-new iPhone XS, iPhone XS Max, iPhone XR and Apple Watch Series 4 are here. #AppleEvent",Apple,13/09/2018,226.41,-0.0356874696347333,41706377.0,25.87,17.349,-1,0.0,"$RESERVED$ $MENTION$: The all-new iPhone XS, iPhone XS Max, iPhone XR and Apple Watch Series $NUMBER$ are here. $HASHTAG$"
@JayValenz67 @Yahoo Lmao. Guess it's not MY fault cz I never voted a clown in2 gov. 😁yippeee!,Yahoo,07/09/2018,3.33,0.006006006006006,3001.0,33.09,56.081,1,0.6,$MENTION$ $MENTION$ Lmao. Guess it's not MY fault cz I never voted a clown in2 gov. $EMOJI$yippeee!
RT @Google: What's better than a sunny yard? A punny yard. Liven up yours with #GoogleGnome. https://t.co/zKYnCKMAaS https://t.co/GcaINoMy2N,Google,31/03/2017,847.8,-0.0084571832979475,1440982.0,14.939,10.6,-1,0.5,$RESERVED$ $MENTION$: What's better than a sunny yard? A punny yard. Liven up yours with $HASHTAG$. $URL$ $URL$
Check out Chanel Ultra Correction Line Repair Anti-Wrinkle Night Cream + FREE  Makeup Set  #CHANEL https://t.co/KotMStdRml via @eBay,eBay,29/12/2017,37.74,0.0052994170641228,4652483.0,9.985,19.193,-1,0.4,Check out Chanel Ultra Correction Line Repair Anti-Wrinkle Night Cream + FREE Makeup Set $HASHTAG$ $URL$ via $MENTION$
RT @bestfriends: Want to help the animals affected by #HurricaneHarvey? Visit our @amazon wish list to send donated items today:…,Amazon,31/08/2017,980.6,-0.0352641240057108,3331488.0,16.105,20.357,-1,0.0,$RESERVED$ $MENTION$: Want to help the animals affected by $HASHTAG$? Visit our $MENTION$ wish list to send donated items today:
"RT @PayPal: Owe a friend for concert tickets? With PayPal, you can take advantage of the time between sets and settle the debt with just a…",PayPal,12/09/2018,92.4,-0.0387445887445888,7213519.0,29.137,22.714,1,0.0,"$RESERVED$ $MENTION$: Owe a friend for concert tickets? With PayPal, you can take advantage of the time between sets and settle the debt with just a"
RT @Reuters: ICYMI: Young heart patient Sofia Sanchez gets a new famous friend https://t.co/hnLbu2qEZv,Reuters,23/09/2018,49.9725,0.0030856971334234,3027903.0,10.397,13.679,1,0.2454545454545454,$RESERVED$ $MENTION$: ICYMI: Young heart patient Sofia Sanchez gets a new famous friend $URL$
@netflix can we have you guys pick up the video game series 999 w/ the two other games and make them into live acti… https://t.co/n3EXZ1AepC,Netflix,30/09/2018,374.13,0.0175874695961296,7114878.0,33.245,40.211,1,-0.1295454545454545,$MENTION$ can we have you guys pick up the video game series $NUMBER$ w/ the two other games and make them into live acti $URL$
Check out Fender Deluxe Tweed 5E3  brass eyelet board pre-loaded components DIY amp kits  https://t.co/v7sfdP6Ogh via @eBay,eBay,24/10/2018,27.29,0.0534994503481129,16309320.0,51.743,35.956,-1,0.6,Check out Fender Deluxe Tweed $NUMBER$E3 brass eyelet board pre-loaded components DIY amp kits $URL$ via $MENTION$
Starbucks @Starbucks at the Hay Building is throwing a bday party for one of their regulars and I. LOVE. IT.,Starbucks,16/09/2018,54.75,0.0025570776255707,6827670.0,7.891,11.511,1,0.0,Starbucks $MENTION$ at the Hay Building is throwing a bday party for one of their regulars and I. LOVE. IT.
Here’s hoping my @TMobile service holds up over the week (safety does come first though) #Florence,TMobile,11/09/2018,65.91,-0.0230617508724017,1375418.0,15.235,29.291,1,0.25,Heres hoping my $MENTION$ service holds up over the week (safety does come first though) $HASHTAG$
I went to an outlet mall and tried the cheapest sneakers from every brand. @Nike Darts were the most comfortable pa… https://t.co/4SdPI1Vq5D,Nike,04/09/2018,79.6,0.0326633165829146,18565837.0,20.517,20.153,-1,0.0,I went to an outlet mall and tried the cheapest sneakers from every brand. $MENTION$ Darts were the most comfortable pa $URL$
Check out 1.00 Ct Round Blue Sapphire Solitaire Stud Earrings Fine 14k White Gold Finish #Stud https://t.co/fsUBQz45y7 via @eBay,eBay,27/10/2018,27.34,-0.0018288222384784,16691760.0,54.536,37.821,-1,0.0541666666666666,Check out $NUMBER$ Ct Round Blue Sapphire Solitaire Stud Earrings Fine $NUMBER$k White Gold Finish $HASHTAG$ $URL$ via $MENTION$
@Ryanair What about the paragraph stating refund of fair difference too? Was this not an obligation too? https://t.co/fqK7cCZALm,Ryanair,29/09/2017,16.27,0.0116779348494161,3814907.0,37.287,26.254,1,0.7,$MENTION$ What about the paragraph stating refund of fair difference too? Was this not an obligation too? $URL$
"RT @DialNforNicole: Every time I try to watch @netflix, I get overwhelmed with all of the choices, and end up turning on @hgtv, instead.",Netflix,28/04/2017,152.2,-0.000262812089356,6366247.0,41.407,26.745,1,0.0,"$RESERVED$ $MENTION$: Every time I try to watch $MENTION$, I get overwhelmed with all of the choices, and end up turning on $MENTION$, instead."
RT @EdenTrainingUK: We are so happy with our new website we are running a #competition! For a chance to win a £50 @amazon voucher / @Love2s…,Amazon,28/10/2018,1642.81,0.0848302603466013,14963783.0,74.59100000000002,49.036,1,0.4852272727272727,$RESERVED$ $MENTION$: We are so happy with our new website we are running a $HASHTAG$! For a chance to win a $NUMBER$ $MENTION$ voucher / $MENTION$
"Check out this Amazon deal: Plano Molding 1363 Stow N Go Toolbox, Graphit... by Plano Molding https://t.co/DOlKfmRNUn via @amazon",Amazon,28/02/2017,845.04,0.0002366751869734,2793709.0,10.6,15.837,-1,0.0,"Check out this Amazon deal: Plano Molding $NUMBER$ Stow N Go Toolbox, Graphit... by Plano Molding $URL$ via $MENTION$"
The all new @Nike #Lunarglide9 comes with the ultimate smooth ride. Shop now: https://t.co/KdDI14ihjz #nikerunning https://t.co/JHwFKrJ7ET,Nike,30/06/2017,59.0,-0.1025423728813558,46552954.0,56.425,36.924,1,0.1787878787878788,The all new $MENTION$ $HASHTAG$ comes with the ultimate smooth ride. Shop now: $URL$ $HASHTAG$ $URL$
RT @netflix: 24 years ago today Rachel Green ran out of her wedding and into Central Perk 💕 ☕️ https://t.co/zSZUNYxPxm,Netflix,23/09/2018,361.19,0.0115451701320635,11930568.0,44.094,41.762,1,-0.1,$RESERVED$ $MENTION$: $NUMBER$ years ago today Rachel Green ran out of her wedding and into Central Perk $EMOJI$ $EMOJI$ $URL$
@news_store_com @AngelCIraq214 @FedEx @RepDonBeyer @HillaryClinton @BarackObama @VA8thCDDems @lowkell @timkaine… https://t.co/4Ey7C3RNNI,FedEx,25/09/2018,239.2,0.0339464882943144,2921072.0,35.298,23.631,-1,0.0,$MENTION$ $MENTION$ $MENTION$ $MENTION$ $MENTION$ $MENTION$ $MENTION$ $MENTION$ $MENTION$ $URL$
@kentvyper @Hyundai You lucky son of a gun! Only difference is you’ve never worked 8 hours in one day in your life 🤣🤣,Hyundai,20/09/2018,129000.0,-0.003875968992248,378436.0,22.196,22.827,1,0.4166666666666666,$MENTION$ $MENTION$ You lucky son of a gun! Only difference is youve never worked $NUMBER$ hours in one day in your life
RT @racdba: Incredible amount of talented @OracleACE Directors today at the ACE D Briefing @Oracle HQ @OracleDatabase…,Oracle,29/09/2017,48.35,-0.0088934850051706,44896559.0,6.494,26.341,1,0.8,$RESERVED$ $MENTION$: Incredible amount of talented $MENTION$ Directors today at the ACE D Briefing $MENTION$ HQ $MENTION$
RT @jenkins_mandy: @KlausSchulze19 @GoldenOldieC @Jonteinspain @AldiUK @Tesco @asda @Morrisons @lidl @waitrose @ConHome @UKLabour @ForBrita…,Tesco,02/09/2018,246.5,-0.0073022312373225,32768776.0,23.66,17.753,1,0.0,$RESERVED$ $MENTION$: $MENTION$ $MENTION$ $MENTION$ $MENTION$ $MENTION$ $MENTION$ $MENTION$ $MENTION$ $MENTION$ $MENTION$ $MENTION$ $MENTION$
RT @OracleIaaS: Learn more about @SAP NetWeaver® Support for VM Shapes on Oracle Cloud Infrastructure. #Iaas #OCI https://t.co/TbXqvR3Kv3 h…,Oracle,22/09/2018,51.1,-0.0326810176125244,50752079.0,13.949000000000002,13.686,1,0.5,$RESERVED$ $MENTION$: Learn more about $MENTION$ NetWeaver Support for VM Shapes on Oracle Cloud Infrastructure. $HASHTAG$ $HASHTAG$ $URL$ h
RT @DevanF91: A thread: reason why I chose to cut @Nike swoosh logo of my socks. https://t.co/3JFmRMgjVH,Nike,07/09/2018,80.3,-0.0087173100871731,6633912.0,21.364,18.219,1,0.0,$RESERVED$ $MENTION$: A thread: reason why I chose to cut $MENTION$ swoosh logo of my socks. $URL$
RT @willam: @SuperDrags has a bitch to scratch and she’s purple and sounds like me! Thanxoxo @netflix! Nov 9th @itsSHANGELA @trixiemattel @…,Netflix,19/10/2018,332.67,0.041272131541768,16717233.0,80.447,53.359,1,0.0,$RESERVED$ $MENTION$: $MENTION$ has a bitch to scratch and shes purple and sounds like me! Thanxoxo $MENTION$! Nov $NUMBER$th $MENTION$ $MENTION$ $MENTION$
RT @Reuters: FDA clears first medical device accessory for Apple Watch https://t.co/vrImSztqwm https://t.co/GFFFKpi9cr,Reuters,30/11/2017,48.5406,0.0052183120933816,816955.0,7.222,18.276,1,0.125,$RESERVED$ $MENTION$: FDA clears first medical device accessory for Apple Watch $URL$ $URL$
RT @Reuters: 'Multiple casualties' in shooting at Pittsburgh synagogue: police https://t.co/8ki90x2sW0,Reuters,27/10/2018,50.6003,0.0095770183180732,1552695.0,15.882,23.586,-1,0.0,$RESERVED$ $MENTION$: 'Multiple casualties' in shooting at Pittsburgh synagogue: police $URL$
RT @Nike: Just a small-town kid with big-city dreams. #justdoit @KingJames https://t.co/okTQBM8hLI,Nike,20/10/2018,74.21,0.0305888694246059,7301200.0,46.148,29.772,1,0.0,$RESERVED$ $MENTION$: Just a small-town kid with big-city dreams. $HASHTAG$ $MENTION$ $URL$
RT @Starbucks: Fun fact: haunted coffee tastes just like normal coffee. #HappyHalloween https://t.co/ZK1yLEo5Oy,Starbucks,31/10/2017,54.84,0.0007293946024799,8857829.0,13.04,12.527,1,0.225,$RESERVED$ $MENTION$: Fun fact: haunted coffee tastes just like normal coffee. $HASHTAG$ $URL$
Check out 4 Drawer Plastic Bedroom Organizer Tower Cabinet Storage Solution Espresso #Sterilite https://t.co/V9Ei2NedFD via @eBay,eBay,08/09/2018,33.99,0.0041188584877905,6445251.0,15.765999999999998,14.593,1,0.0,Check out $NUMBER$ Drawer Plastic Bedroom Organizer Tower Cabinet Storage Solution Espresso $HASHTAG$ $URL$ via $MENTION$
RT @SLAMonline: From Akron to Los Angeles. @KingJames is an inspiration 👑 (via @Nike) https://t.co/qszlBEsPty,Nike,21/10/2018,74.21,0.0187306292952432,7301200.0,46.148,29.772,1,0.0,$RESERVED$ $MENTION$: From Akron to Los Angeles. $MENTION$ is an inspiration $EMOJI$ (via $MENTION$) $URL$
RT @YooShesPauly_: Hey @CocaCola I think it is time you guys put me in your next commercial 😊 https://t.co/CjM0iaivcC,CocaCola,30/06/2017,44.85,0.0044593088071348,9352785.0,10.685,9.773,1,0.0,$RESERVED$ $MENTION$: Hey $MENTION$ I think it is time you guys put me in your next commercial $EMOJI$ $URL$
@comcast oh it’s just taking over a month to get my internet installed,Comcast,19/09/2018,37.32,-0.0096463022508038,17452247.0,19.672,19.261,1,0.0,$MENTION$ oh its just taking over a month to get my internet installed
RT @elisiashoppe: #WildCountry Cologne Spray by Avon NIB 3 oz - #Gift - Dad #Avon ENDS SOON   https://t.co/6l8mQXCxoQ via @eBay,eBay,26/09/2018,33.58,0.0136986301369863,14006968.0,22.941,17.04,1,0.0,$RESERVED$ $MENTION$: $HASHTAG$ Cologne Spray by Avon NIB $NUMBER$ oz - $HASHTAG$ - Dad $HASHTAG$ ENDS SOON $URL$ via $MENTION$
